foul	f {O l
welcome	' w e l k @ m
quit	k w I t
inspect	I n ' s p e k t
communicate	k @ ' m j }: n @ k {I t
slaughter	' s l o: t @
anticlockwise	{ n t i: ' k l O k w Ae z
sari	' s 6: r\ i:
found	f {O n d
prattle	' p r\ { t @ l
dicey	' d Ae s i:
plastic	' p l { s t I k
on	O n
radiography	r\ {I d i: ' O g r\ @ f i:
oh	@}
jeep	dZ i: p
of	O v
jeer	dZ I@
shrimp	S r\ I m p
stand	s t { n d
doze	d @} z
or	o:
amber	' { m b @
tiddly	' t I d l i:
communication	k @ ' m j }: n @ k {I S @ n
dishevelled	d I ' S e v @ l d
everyone	' e v r\ i: w 6 n
determine	d @ ' t 3: m @ n
syringe	s @ ' r\ I n dZ
mental	' m e n t @ l
weight	w {I t
unisex	' j }: n i: s e k s
hoarding	' h o: d I N
there	D e:
disposed	d @ ' s p @} z d
strict	s t r\ I k t
racist	' r\ {I s @ s t
thereabouts	D e: r\ @ ' b {O t s
condone	k @ n ' d @} n
energy	' e n @ dZ i:
hode	h @} d
mischief	' m I s tS @ f
jug	dZ 6 g
regard	r\ @ ' g 6: d
amongst	@ m 6 N k s t
cabinet	' k { b @ n @ t
soprano	s @ ' p r\ 6: n @}
strenuous	' s t r\ e n j }: @ s
jut	dZ 6 t
promote	p r\ @ ' m @} t
show-off	' S @} O f
fabricate	' f { b r\ @ k {I t
wholesale	' h @} l s {I l
feeler	' f i: l @
dressing-gown	' d r\ e s I N g {O n
chapped	tS { p t
grass	g r\ 6: s
toilet	' t oI l @ t
ruffian	' r\ 6 f i: @ n
surly	' s 3: l i:
cinema	' s I n @ m @
taste	t {I s t
frighten	' f r\ Ae t @ n
fossick	' f O s I k
smokescreen	' s m @} k s k r\ i: n
politics	' p O l @ t I k s
bishop	' b I S @ p
idiot	' I d i: @ t
deserve	d @ ' z 3: v
compel	k @ m ' p e l
rubber	' r\ 6 b @
idiom	' I d i: @ m
heathen	h i: D @ n
residence	' r\ e z @ d @ n s
brash	b r\ { S
separate	' s e p r\ @ t
symbol	' s I m b @ l
finale	f @ ' n 6: l i:
cove	k @} v
fetid	' f e t @ d
stocky	' s t O k i:
dishonour	d I s ' O n @
nucleus	' n j }: k l i: @ s
recognise	' r\ e k @ g n Ae z
hwy	' h Ae w {I
brass	b r\ 6: s
spouse	s p {O s
psychology	s Ae ' k O l @ dZ i:
applause	@ ' p l o: z
wife	w Ae f
invest	I n ' v e s t
curve	k 3: v
unscathed	6 n ' s k {I D d
chows	tS {O z
fizzle	' f I z @ l
directory	d @ ' r\ e k t r\ i:
platter	' p l { t @
all	o: l
lace	l {I s
ale	{I l
fully-fledged	' f U l i: f l e dZ d
spacecraft	' s p {I s k r\ 6: f t
disc	d I s k
dish	d I S
follow	' f O l @}
disk	d I s k
titter	' t I t @
synthetic	s I n ' T e t I k
glimpse	g l I m p s
apartment	@ ' p 6: t m @ n t
catastrophe	k @ ' t { s t r\ @ f i:
homage	' h O m I dZ
lining	' l Ae n I N
switched	s w I tS t
write-off	' r\ Ae t O f
program	' p r\ @} g r\ { m
dairy	' d e: r\ i:
stockman	' s t O k m @ n
defuse	d @ ' f j }: z
fax	f { k s
woman	' w U m @ n
worse	w 3: s
song	s O N
far	f 6:
induce	I n ' d j }: s
podgy	' p O dZ i:
fan	f { n
awful	' o: f @ l
hemp	h e m p
bubbler	' b 6 b l @
BMX	b i: e m ' e k s
fad	f { d
snip	s n I p
sentimental	s e n t @ ' m e n t @ l
lisp	l I s p
list	l I s t
grandfather	' g r\ { n f 6: D @
intimidate	I n ' t I m @ d {I t
salute	s @ ' l }: t
tights	t Ae t s
vanilla	v @ ' n I l @
manslaughter	' m { n s l o: t @
flick	f l I k
dexterity	d e k s ' t e r\ @ t i:
ten	t e n
bistro	' b I s t r\ @}
tea	t i:
tee	t i:
rate	r\ {I t
design	d @ ' z Ae n
runner-up	r\ 6 n @ r\ ' 6 p
disfigure	d I s ' f I g @
sue	s }:
sarong	s @ ' r\ O N
sun	s 6 n
sum	s 6 m
whimper	' w I m p @
barbiturate	b 6: ' b I tS U r\ @ t
brief	b r\ i: f
crush	k r\ 6 S
version	' v 3: Z @ n
row	r\ @}
multitude	' m 6 l t @ tS }: d
womb	w }: m
lacquer	' l { k @
Susan	s }: z @ n
varnish	' v 6: n I S
pendant	' p e n d @ n t
epitome	@ ' p I t @ m i:
bombshell	' b O m S e l
tragedy	' t r\ { dZ @ d i:
thrift	T r\ I f t
breakable	' b r\ {I k @ b @ l
mythology	m @ ' T O l @ dZ i:
heifer	' h e f @
miniature	' m I n @ tS @
milkshake	' m I l k S {I k
cataract	' k { t @ r\ { k t
texta	' t e k s t @
haemophilia	h i: m @ ' f I l i: @
bathers	' b {I D @ z
semester	s @ ' m e s t @
plonk	p l O N k
snub	s n 6 b
theatrical	T i: ' { t r\ I k @ l
proceed	p r\ @ ' s i: d
faint	f {I n t
hurray	h @ ' r\ {I
irritate	' I r\ @ t {I t
T-shirt	' t i: S 3: t
garnish	' g 6: n I S
hurrah	h @ r\ 6:
minor	' m Ae n @
flat	f l { t
flaw	f l o:
flap	f l { p
mire	' m Ae @
stutter	' s t 6 t @
flax	f l { k s
flag	f l { g
stethoscope	' s t e T @ s k @} p
stick	s t I k
flab	f l { b
known	n @} n
who'll	h }: l
mellow	' m e l @}
flan	f l { n
glad	g l { d
berth	b 3: T
sentry	' s e n t r\ i:
plea	p l i:
forbearance	f o: ' b e: r\ @ n s
v	' v 3: s @ z
smelt	s m e l t
excursion	@ k ' s k 3: S @ n
atrocious	@ ' t r\ @} S @ s
division	d @ ' v I Z @ n
sunscreen	' s 6 n s k r\ i: n
coerce	k @} ' 3: s
methyl	m e T @ l
metamorphosis	m e t @ ' m o: f @ s @ s
arise	@ ' r\ Ae z
pond	p O n d
cultivate	' k 6 l t @ v {I t
swung	s w 6 N
allege	@ ' l e dZ
mother-of-pearl	m 6 D @ r\ @ v ' p 3: l
terrestrial	t @ ' r\ e s t r\ i: @ l
court	k o: t
goal	g @} l
rather	' r\ 6: D @
irrigate	' I r\ @ g {I t
magpie	' m { g p Ae
overbalance	@} v @ ' b { l @ n s
bawdy	' b o: d i:
headstrong	' h e d s t r\ O N
mould	m @} l d
sandwich	' s { n w I tS
okay	@} ' k {I
algebra	' { l dZ @ b r\ @
anecdote	' { n @ k d @} t
fungus	' f 6 N g @ s
inflammable	I n ' f l { m @ b @ l
disable	d I s ' {I b @ l
adventure	@ d ' v e n tS @
numb	n 6 m
breathalyser	' b r\ e T @ l Ae z @
palpitate	' p { l p @ t {I t
meticulous	m @ ' t I k j @ l @ s
shore	S o:
Democrats	' d e m @ k r\ { t s
shade	S {I d
retaliate	r\ @ ' t { l i: {I t
shorn	S o: n
don't	d @} n t
essence	' e s @ n s
mission	' m I S @ n
cross	k r\ O s
scientist	' s Ae @ n t @ s t
flaunt	f l o: n t
stride	s t r\ Ae d
avenue	' { v @ n j }:
developer	d @ ' v e l @ p @
style	s t Ae l
glide	g l Ae d
pray	p r\ {I
mattress	' m { t r\ @ s
resort	r\ @ ' z o: t
bout	b {O t
soccer	' s O k @
might	m Ae t
alter	' O l t @
return	r\ @ ' t 3: n
hunter	h 6 n t @
L	e l
framework	' f r\ {I m w 3: k
sit-in	' s I t I n
belittle	b @ ' l I t @ l
accumulate	@ ' k j }: m j @ l {I t
Reverend	' r\ e v r\ @ n d
liniment	' l I n @ m @ n t
refresh	r\ @ ' f r\ e S
Scottish	' s k O t I S
friendship	' f r\ e n d S I p
nicotine	n I k @ ' t i: n
formulate	' f o: m j @ l {I t
generation	dZ e n @ ' r\ {I S @ n
fixture	' f I k s tS @
causeway	' k o: z w {I
expect	@ k ' s p e k t
inflict	I n ' f l I k t
chunder	' tS 6 n d @
scot-free	s k O t ' f r\ i:
reverent	' r\ e v r\ @ n t
wager	' w {I dZ @
alcohol	' { l k @ h O l
foolproof	' f }: l p r\ }: f
clandestine	' k l { n d @ s t Ae n
hilt	h I l t
hydraulic	h Ae ' d r\ O l I k
musty	' m 6 s t i:
candour	' k { n d @
health	h e l T
hill	h I l
bazooka	b @ z }: k @
absorb	@ b ' s o: b
hile	h Ae l
exodus	' e k s @ d @ s
friday	f r\ Ae d {I
forgive	f @ ' g I v
side-effects	' s Ae d @ f e k t s
disinfect	d I s I n ' f e k t
butcherbird	' b U tS @ b 3: d
teach	t i: tS
generate	' dZ e n @ r\ {I t
blister	' b l I s t @
hardware	' h 6: d w e:
thread	T r\ e d
stampede	s t { m ' p i: d
prejudice	' p r\ e dZ @ d @ s
circuit	' s 3: k @ t
bushed	b U S t
consequence	' k O n s @ k w @ n s
ding	d I N
indigestion	I n d @ ' dZ e s tS @ n
limestone	' l Ae m s t @} n
upper	' 6 p @
feel	f i: l
radical	' r\ { d I k @ l
urinal	' j }: r\ @ n @ l
fancy	' f { n s i:
revive	r\ @ ' v Ae v
feet	f i: t
sympathy	' s I m p @ T i:
sailor	' s {I l @
plummet	' p l 6 m @ t
least	l i: s t
blank	b l { N k
bland	b l { n d
speedometer	s p i: ' d O m @ t @
three-dimensional	T r\ i: d @ ' m e n S @ n @ l
corporal	' k o: p r\ @ l
moan	m @} n
story	' s t o: r\ i:
scathing	' s k {I D I N
script	s k r\ I p t
gourmet	' g o: m {I
automobile	' o: t @ m @ b i: l
interact	I n t @ r\ ' { k t
grime	g r\ Ae m
flimsy	' f l I m z i:
collar	' k O l @
doomsday	' d }: m z d {I
swarm	s w o: m
storm	s t o: m
moat	m @} t
syrup	' s I r\ @ p
aristocracy	{ r\ @ ' s t O k r\ @ s i:
store	s t o:
headache	' h e d {I k
imperfect	I m ' p 3: f e k t
option	' O p S @ n
pump	p 6 m p
hotel	h @} ' t e l
off-putting	' O f p U t I N
treasurer	' t r\ e Z @ r\ @
fidget	' f I dZ @ t
rifle	' r\ Ae f @ l
king	k I N
kind	k Ae n d
throttle	' T r\ O t @ l
double	' d 6 b @ l
instruction	I n ' s t r\ 6 k S @ n
kink	k I N k
stall	s t o: l
cuff	k 6 f
risks	r\ I s k s
outdoors	{O t ' d o: z
stale	s t {I l
risky	r\ I s k i:
amass	@ ' m { s
silence	' s Ae l @ n s
exert	@ g ' z 3: t
suspicious	s @ ' s p I S @ s
shrewd	S r\ }: d
bookworm	' b U k w 3: m
gale	g {I l
alike	@ ' l Ae k
smallpox	' s m o: l p O k s
uproarious	6 p ' r\ o: r\ i: @ s
shandy	' S { n d i:
currawong	' k 6 r\ @ w O N
port	p o: t
moist	m oI s t
cosy	' k @} z i:
donor	' d @} n @
banjo	' b { n dZ @}
buff	b 6 f
foreman	' f o: m @ n
populate	' p O p j @ l {I t
rucksack	' r\ 6 k s { k
gild	g I l d
reach	r\ i: tS
react	r\ i: ' { k t
cigarette	s I g @ ' r\ e t
shareholder	' S e: h @} l d @
gilt	g I l t
mangrove	' m { N g r\ @} v
machete	m @ ' S e t i:
prestige	p r\ e s ' t i: Z
postman	' p @} s t m @ n
mineral	' m I n @ r\ @ l
windows	w I n d @} z
devalue	d i: ' v { l j }:
washed-out	' w O S t {O t
amphibian	{ m f I b i: @ n
saloon	s @ ' l }: n
notch	n O tS
liberate	' l I b @ r\ {I t
lying	l Ae I N
stones	s t @} n z
asphalt	' { S f e l t
fond	f O n d
JP	dZ {I ' p i:
inflexible	I n ' f l e k s @ b @ l
melody	' m e l @ d i:
aggravate	' { g r\ @ v {I t
delinquent	d @ ' l I N k w @ n t
upwards	' 6 p w @ d z
firewood	' f Ae @ w U d
grotesque	g r\ @} ' t e s k
penalty	' p e n @ l t i:
betray	b @ ' t r\ {I
bushfire	' b U S f Ae @
hip	h I p
his	h I z
hit	h I t
babble	' b { b @ l
hang-up	' h { N 6 p
bottlebrush	' b O t @ l b r\ 6 S
whistle	' w I s @ l
hid	h I d
deaden	' d e d @ n
reprint	r\ i: ' p r\ I n t
banquet	' b { N k w @ t
hin	h I n
fallible	' f { l @ b @ l
investigate	I n ' v e s t @ g {I t
activity	{ k ' t I v @ t i:
cringe	k r\ I n dZ
relentless	r\ @ ' l e n t l @ s
knickers	' n I k @ z
art	6: t
dump	d 6 m p
intelligence	I n ' t e l @ dZ @ n s
barb	b 6: b
bare	b e:
are	6:
thistle	' T I s @ l
bark	b 6: k
ark	6: k
arm	6: m
nippers	' n I p @ z
barn	b 6: n
youth	j }: T
merry-go-round	' m e r\ i: g @} r\ {O n d
blurt	b l 3: t
forlorn	f @ ' l o: n
pavlova	p { v ' l @} v @
various	' v e: r\ i: @ s
plywood	' p l Ae w U d
downturn	' d {O n t 3: n
numerous	' n j }: m @ r\ @ s
berserk	b @ ' z 3: k
blurb	b l 3: b
solo	' s @} l @}
sold	s @} l d
attention	@ ' t e n S @ n
denomination	d @ ' n O m @ n {I S @ n
rapid	' r\ { p @ d
fatality	f @ ' t { l @ t i:
competent	' k O m p @ t @ n t
prelude	' p r\ e l j }: d
bronze	b r\ O n z
c	s i:
blazer	' b l {I z @
interrogate	I n ' t e r\ @ g {I t
bandit	' b { n d @ t
became	b @ ' k {I m
context	' k O n t e k s t
witch	w I tS
cynic	' s I n I k
sloth	s l o T
distress	d @ ' s t r\ e s
sweet	s w i: t
sweep	s w i: p
harbour	' h 6: b @
muesli	' m j }: z l i:
rave	r\ {I v
eyewitness	' Ae w I t n @ s
bolster	' b @} l s t @
decline	d @ ' k l Ae n
sieve	s I v
duo	' d j }: @}
dub	d 6 b
overlook	@} v @ ' l U k
due	d j }:
dug	d 6 g
whom	h }: m
make-up	' m {I k 6 p
whod	h }: d
brick	b r\ I k
woke	w @} k
referee	r\ e f @ ' r\ i:
flight	f l Ae t
demand	d @ ' m { n d
heighten	' h Ae t @ n
stolen	' s t @} l @ n
conception	k @ n ' s e p S @ n
shove	S 6 v
frozen	' f r\ @} z @ n
batch	b { tS
corrode	k @ ' r\ @} d
homework	' h @} m w 3: k
moustache	m @ ' s t 6: S
identical	Ae ' d e n t I k @ l
leant	l e n t
antithesis	{ n ' t I T @ s @ s
demon	' d i: m @ n
rip	r\ I p
obstacle	' O b s t @ k @ l
headway	' h e d w {I
rig	r\ I g
rid	r\ I d
anguish	' { N g w I S
chauffeur	' S @} f @
ample	' { m p @ l
kimono	' k I m @ n @}
flexitime	' f l e k s i: t Ae m
advise	@ d ' v Ae z
literature	' l I t r\ @ tS @
cartridge	' k 6: t r\ I dZ
negotiate	n @ ' g @} S i: {I t
cement	s @ ' m e n t
flown	f l @} n
impede	I m ' p i: d
robust	' r\ @} b 6 s t
knack	n { k
Col	k O l
bourgeois	' b U @ Z w 6:
lower	' l @} @
abnormality	{ b n o: ' m { l @ t i:
cheek	tS i: k
anybody	' e n i: b O d i:
analysis	@ ' n { l @ s @ s
cheer	tS I@
edge	e dZ
reflect	r\ @ ' f l e k t
machinery	m @ ' S i: n @ r\ i:
boronia	b @ ' r\ @} n i: @
T	t i:
pollen	' p O l @ n
grievance	' g r\ i: v @ n s
endeavour	e n ' d e v @
knot	n O t
reliant	r\ @ ' l Ae @ n t
scrupulous	' s k r\ }: p j @ l @ s
competitive	k @ m ' p e t @ t I v
margarine	m 6: dZ @ ' r\ i: n
continent	' k O n t @ n @ n t
ravine	r\ @ ' v i: n
tablet	' t { b l @ t
internal	I n ' t 3: n @ l
plateau	' p l { t @}
theorem	' T I@ r\ @ m
reinstate	r\ i: I n ' s t {I t
customers	k 6 s t @ m @ z
advocate	' { d v @ k {I t
conscript	' k O n s k r\ I p t
sharpener	' S 6: p n @
entangled	e n ' t { N g @ l d
antiseptic	{ n t @ ' s e p t I k
awaken	@ ' w {I k @ n
sideshow	' s Ae d S @}
moody	' m }: d i:
morale	m @ ' r\ 6: l
rotate	r\ @} ' t {I t
flabbergasted	' f l { b @ g { s t @ d
incidental	I n s @ ' d e n t @ l
ignore	I g ' n o:
collect	k @ ' l e k t
distrust	d I s ' t r\ 6 s t
nipple	' n I p @ l
entice	e n ' t Ae s
kookaburra	' k U k @ b 6 r\ @
essential	@ ' s e n S @ l
hallmark	' h o: l m 6: k
ecology	@ ' k O l @ dZ i:
disinclined	d I s I n ' k l Ae n d
litter	' l I t @
marmalade	' m 6: m @ l {I d
jabiru	dZ { b @ ' r\ }:
saucer	' s o: s @
prop	p r\ O p
inoculate	I ' n O k j @ l {I t
stingy	' s t I n dZ i:
monastery	' m O n @ s t r\ i:
prod	p r\ O d
jumpy	' dZ 6 m p i:
nasal	' n {I z @ l
zombie	' z O m b i:
tinker	' t I N k @
consolation	k O n s @ ' l {I S @ n
sexism	' s e k s I z @ m
intense	I n ' t e n s
vaccine	' v { k s i: n
dormant	' d o: m @ n t
cautious	' k o: S @ s
housekeeping	' h {O s k i: p I N
kitchenette	k I tS @ ' n e t
ordeal	o: ' d i: l
leukaemia	l }: ' k i: m i: @
frightful	' f r\ Ae t f U l
stricken	' s t r\ I k @ n
range	r\ {I n dZ
militia	m @ ' l I S @
backlog	' b { k l O g
modal	' m @} d @ l
complimentary	k O m p l @ ' m e n t r\ i:
mulga	' m 6 l g @
credible	' k r\ e d @ b @ l
significant	s I g ' n I f @ k @ n t
holster	' h @} l s t @
gavel	g { v @ l
curtsy	' k 3: t s i:
ellipse	@ ' l I p s
canal	k @ ' n { l
gouge	g {O dZ
tumble	' t 6 m b @ l
lone	l @} n
fast	f 6: s t
we're	w e:
perform	p @ ' f o: m
etch	e tS
mundane	m 6 n ' d {I n
plunge	p l 6 n dZ
audacious	o: ' d {I S @ s
glamour	' g l { m @
cloth	k l O T
crank	k r\ { N k
delta	' d e l t @
forbidding	f @ ' b I d I N
crane	k r\ {I n
junior	' dZ }: n j @
penguin	' p e N g w @ n
mystify	' m I s t @ f Ae
motive	' m @} t I v
patriot	' p {I t r\ i: @ t
nonplussed	n O n ' p l 6 s t
consist	k @ n ' s I s t
characteristic	k { r\ @ k t @ ' r\ I s t I k
peppermint	' p e p @ m @ n t
highlight	' h Ae l Ae t
fried	f r\ Ae d
etc.	e t ' s e t r\ @
x-ray	' e k s r\ {I
dill	d I l
saturate	' s { tS @ r\ {I t
freak	f r\ i: k
worthwhile	w 3: T ' w Ae l
entrance	' e n t r\ @ n s
warning	' w o: n I N
fatso	' f { t s @}
rally	' r\ { l i:
rainbow	' r\ {I n b @}
lemon	' l e m @ n
peach	p i: tS
tentative	' t e n t @ t I v
peace	p i: s
nick	n I k
income	' I n k 6 m
ferment	f @ ' m e n t
organise	' o: g @ n Ae z
mock	m O k
nice	n Ae s
heartache	' h 6: t {I k
mustard	' m 6 s t @ d
quinine	' k w I n i: n
headteacher	' h e d t i: tS @
backbone	' b { k b @} n
helping	' h e l p I N
inflame	I n ' f l {I m
insect	' I n s e k t
puncture	' p 6 N k tS @
wrinkle	' r\ I N k @ l
rightful	' r\ Ae t f @ l
vice	v Ae s
Malcolm	m { l k @ m
liquefy	' l I k w @ f Ae
impatient	I m ' p {I S @ n t
narrative	' n { r\ @ t I v
bandaid	' b { n d {I d
tantalise	' t { n t @ l Ae z
scroll	s k r\ @} l
once	w 6 n s
pervert	' p 3: v 3: t
miner	' m Ae n @
resistance	r\ @ z I s t @ n s
alien	' {I l i: @ n
dispel	d @ ' s p e l
windy	' w I n d i:
gang	g { N
golf	g O l f
adjustment	@ ' dZ 6 s t m @ n t
decathlon	d @ ' k { T l O n
uphold	6 p ' h @} l d
disposal	d @ ' s p @} z @ l
ovulate	' @ v j @ l {I t
floss	f l O s
obstinate	' O b s t @ n @ t
stable	' s t {I b @ l
breach	b r\ i: tS
include	I N ' k l }: d
rag	r\ { g
mainstream	' m {I n s t r\ i: m
without	w I D ' {O t
P	p i:
spoon	s p }: n
materialise	m @ ' t I@ r\ i: @ l Ae z
artery	' 6: t @ r\ i:
posture	' p O s tS @
incoherent	I N k @} ' h I@ r\ @ n t
passionfruit	' p { S @ n f r\ }: t
gullible	' g 6 l @ b @ l
session	' s e S @ n
pasty	' p {I s t i:
smaller	s m o: l @
pleat	p l i: t
malice	' m { l @ s
fold	f @} l d
plead	p l i: d
abominable	@ ' b O m n @ b @ l
acid	' { s @ d
folk	f @} k
tarragon	' t { r\ @ g @ n
slur	s l 3:
relent	r\ @ ' l e n t
capital	' k { p @ t @ l
ammunition	{ m j @ ' n I S @ n
chose	tS @} z
degree	d @ ' g r\ i:
kangaroo	k { N g @ ' r\ }:
explore	@ k ' s p l o:
gloat	g l @} t
sexy	' s e k s i:
miser	' m Ae z @
Croatian	k r\ @} ' {I S @ n
metre	' m i: t @
armpit	' 6: m p I t
up-to-date	6 p t @ ' d {I t
shovel	' S 6 v @ l
apple	' { p @ l
deputy	' d e p j @ t i:
forbid	f @ ' b I d
apt	{ p t
hardy	' h 6: d i:
motor	' m @} t @
duck	d 6 k
apply	@ ' p l Ae
thick	T I k
ape	{I p
fed	f e d
fee	f i:
from	f r\ O m
stream	s t r\ i: m
splinter	' s p l I n t @
doodle	' d }: d @ l
cauterise	' k o: t @ r\ Ae z
frog	f r\ O g
germ	dZ 3: m
few	f j }:
examination	@ g z { m @ ' n {I S @ n
timetable	' t Ae m t {I b @ l
possession	p @ ' z e S @ n
clever	' k l e v @
porch	p o: tS
inclined	I N ' k l Ae n d
heir	e:
infection	I n ' f e k S @ n
cooperate	k @} ' O p @ r\ {I t
sore	s o:
recount	r\ @ ' k {O n t
brochure	' b r\ @} S @
annoy	@ ' n oI
topic	' t O p I k
saddle	' s { d @ l
stroke	s t r\ @} k
anywhere	' e n i: w e:
executor	@ g ' z e k j @ t @
dissolve	d @ ' z O l v
ALP	{I e l ' p i:
proof	p r\ }: f
taw	t o:
patrol	p @ ' t r\ @} l
patron	' p {I t r\ @ n
tax	t { k s
dripping	' d r\ I p I N
villain	' v I l @ n
tag	t { g
condescend	k O n d @ ' s e n d
something	' s 6 m T I N
tab	t { b
spa	s p 6:
bowerbird	' b {O @ b 3: d
Australian	@ s t ' r\ {I l j @ n
rape	r\ {I p
counterfeit	' k {O n t @ f I t
autobiography	o: t @ b Ae ' O g r\ @ f i:
sip	s I p
scuff	s k 6 f
sit	s I t
buoyant	' b oI @ n t
six	s I k s
fortunate	' f o: tS @ n @ t
instead	I n ' s t e d
toddler	' t O d l @
panic	' p { n I k
sin	s I n
typewriter	' t Ae p r\ Ae t @
cupboard	' k 6 b @ d
attend	@ ' t e n d
tact	t { k t
hazard	' h { z @ d
chequebook	' tS e k b U k
discomfort	d I s ' k 6 m f @ t
abuse	@ ' b j }: z
wrist	r\ I s t
ethnic	' e T n I k
footpath	' f U t p 6: T
bursary	' b 3: s @ r\ i:
light	l Ae t
arduous	' 6: dZ }: @ s
budge	b 6 dZ
takeaway	' t {I k @ w {I
necklace	' n e k l @ s
Tas.	t { z ' m {I n i: @
tropics	' t r\ O p I k s
outset	' {O t s e t
strove	s t r\ @} v
quake	k w {I k
badger	' b { dZ @
lounge	l {O n dZ
terriers	t e r\ i: @ z
glee	g l i:
flautist	' f l o: t @ s t
nostalgia	n O s ' t { l dZ @
permanent	' p 3: m @ n @ n t
restrain	r\ @ ' s t r\ {I n
glisten	' g l I s @ n
orange	' O r\ I n dZ
bye	b Ae
jukebox	' dZ }: k b O k s
eastward	' i: s t w @ d
crash	k r\ { S
orthodox	' o: T @ d O k s
citrus	' s I t r\ @ s
flour	' f l {O @
material	m @ ' t I@ r\ i: @ l
guess	g e s
flew	f l }:
flout	f l {O t
negligent	' n e g l @ dZ @ n t
bleary	' b l I@ r\ i:
flea	f l i:
flee	f l i:
diabolic	d Ae @ ' b O l I k
decapitate	d i: ' k { p @ t {I t
easel	' i: z @ l
sleeve	s l i: v
profound	p r\ @ ' f {O n d
fiddly	' f I d l i:
feast	f i: s t
postgraduate	p @} s t ' g r\ { dZ }: @ t
billy	' b I l i:
fuzz	f 6 z
fiddle	' f I d @ l
trap	t r\ { p
dogmatic	d O g ' m { t I k
promise	' p r\ O m @ s
economy	@ ' k O n @ m i:
tray	t r\ {I
erratic	@ ' r\ { t I k
tabby	' t { b i:
tepid	' t e p @ d
mincemeat	' m I n s m i: t
our	{O @
tabulate	' t { b j @ l {I t
out	{O t
category	' k { t @ g @ r\ i:
semen	' s i: m @ n
tabloid	' t { b l oI d
sentiment	' s e n t @ m @ n t
frontier	f r\ 6 n ' t I@
cerebral	' s e r\ @ b r\ @ l
vehement	' v i: @ m @ n t
disarray	d I s @ ' r\ {I
chaos	' k {I O s
teabag	' t i: b { g
plural	' p l }: r\ @ l
sacrifice	' s { k r\ @ f Ae s
disclose	d I s ' k l @} z
dictionary	' d I k S @ n r\ i:
scoff	s k O f
tenement	' t e n @ m @ n t
brazen	' b r\ {I z @ n
usual	' j }: Z }: @ l
anyhow	' e n i: h {O
tenant	' t e n @ n t
comrade	' k O m r\ {I d
overtake	@} v @ ' t {I k
organic	o: ' g { n I k
g	dZ i:
feasible	' f i: z @ b @ l
illicit	I ' l I s @ t
hence	h e n s
embryo	' e m b r\ i: @}
sew	s @}
wowser	' w {O z @
bouquet	b }: ' k {I
kilobyte	' k I l @ b Ae t
relish	r\ e l I S
echo	' e k @}
bonnet	' b O n @ t
listless	' l I s t l @ s
effervescent	e f @ ' v e s @ n t
filial	' f I l i: @ l
droop	d r\ }: p
overtime	' @} v @ t Ae m
unknown	6 n ' n @} n
overdraft	' @} v @ d r\ 6: f t
accent	' { k s e n t
inmate	' I n m {I t
potty	' p O t i:
anaemia	@ ' n i: m i: @
ticklish	' t I k l I S
chemotherapy	k i: m @} ' T e r\ @ p i:
steeple	s t i: p @ l
boil	b oI l
muggy	' m 6 g i:
shell	S e l
academy	@ k { d @ m i:
update	6 p ' d {I t
shallow	' S { l @}
tended	t e n d @ d
diminish	d @ ' m I n I S
institution	I n s t @ ' t j }: S @ n
vague	v {I g
liquid	' l I k w @ d
uninterested	6 n ' I n t r\ @ s t @ d
KO	k {I ' @}
infectious	I n ' f e k S @ s
frugal	' f r\ }: g @ l
arouse	@ ' r\ {O z
vat	v { t
sculpture	' s k 6 l p tS @
mezzanine	' m e z @ n i: n
encore	' O N k o:
crucify	' k r\ }: s @ f Ae
hairstyle	' h e: s t Ae l
clip	k l I p
splatter	' s p l { t @
afraid	@ ' f r\ {I d
angle	' { N g @ l
scone	s k O n
bough	b {O
agency	' {I dZ @ n s i:
admittance	@ d ' m I t @ n s
outward	' {O t w @ d
which	w I tS
pharmacist	' f 6: m @ s @ s t
vegetation	v e dZ @ ' t {I S @ n
bushie	' b U S i:
combat	' k O m b { t
centre	' s e n t @
petrol	' p e t r\ @ l
who	h }:
evacuate	@ ' v { k j }: {I t
delve	d e l v
class	k l 6: s
clasp	k l { s p
statute	' s t { tS }: t
discourage	d I s ' k 6 r\ I dZ
fang	f { N
atypical	{I ' t I p I k @ l
dent	d e n t
pipe	p Ae p
inane	I ' n {I n
sceptical	' s k e p t I k @ l
stove	s t @} v
upright	' 6 p r\ Ae t
utter	' 6 t @
chicken	' tS I k @ n
feat	f i: t
debate	d @ ' b {I t
nearer	n I@ r\ @
filmed	f I l m d
dandruff	' d { n d r\ 6 f
aftershave	' 6: f t @ S {I v
print	p r\ I n t
surroundings	s @ ' r\ {O n d I N z
herald	' h e r\ @ l d
inhabit	I n ' h { b @ t
local	' l @} k @ l
colt	k @} l t
indignant	I n ' d I g n @ n t
spun	s p 6 n
prosecute	' p r\ O s @ k j }: t
GPO	dZ i: p i: ' @}
topple	' t O p @ l
skimp	s k I m p
dope	d @} p
massacre	' m { s @ k @
penetrate	' p e n @ t r\ {I t
spur	s p 3:
ghetto	' g e t @}
bisect	b Ae ' s e k t
married	' m { r\ i: d
affluent	' { f l }: @ n t
kneel	n i: l
ascertain	{ s @ ' t {I n
sediment	' s e d @ m @ n t
view	v j }:
unison	' j }: n @ s @ n
knowing	' n @} I N
workbench	' w 3: k b e n tS
vibrate	v Ae ' b r\ {I t
ebb	e b
expel	@ k ' s p e l
